Network_Reward,Group_A_Reward,Group_B_Reward,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-1740.5,-875.0,-865.5,-218.75,-218.75,-218.75,-218.75,-216.375,-216.375,-216.375,-216.375
-1773.0,-939.0,-834.0,-234.75,-234.75,-234.75,-234.75,-208.5,-208.5,-208.5,-208.5
-1840.0,-1003.0,-837.0,-250.75,-250.75,-250.75,-250.75,-209.25,-209.25,-209.25,-209.25
-1599.0,-853.5,-745.5,-213.375,-213.375,-213.375,-213.375,-186.375,-186.375,-186.375,-186.375
-1776.5,-929.0,-847.5,-232.25,-232.25,-232.25,-232.25,-211.875,-211.875,-211.875,-211.875
-1675.5,-865.5,-810.0,-216.375,-216.375,-216.375,-216.375,-202.5,-202.5,-202.5,-202.5
-2310.5,-1458.0,-852.5,-364.5,-364.5,-364.5,-364.5,-213.125,-213.125,-213.125,-213.125
-1673.5,-837.5,-836.0,-209.375,-209.375,-209.375,-209.375,-209.0,-209.0,-209.0,-209.0
-1716.5,-888.5,-828.0,-222.125,-222.125,-222.125,-222.125,-207.0,-207.0,-207.0,-207.0
-1888.0,-884.5,-1003.5,-221.125,-221.125,-221.125,-221.125,-250.875,-250.875,-250.875,-250.875
