Network_Reward,Group_A_Reward,Group_B_Reward,Sup_A_Loss,Sup_B_Loss,tls_1,tls_2,tls_3,tls_4,tls_5,tls_6,tls_7,tls_8
-3693.0,-1860.5,-1832.5,4.595159800516234,3.9805390891101626,-612.5,-327.0,-474.0,-447.0,-549.5,-521.5,-391.5,-370.0
-3728.0,-1685.0,-2043.0,4.563726757301224,4.134284560879071,-476.0,-414.5,-451.0,-343.5,-692.0,-535.5,-443.0,-372.5
-4232.5,-2373.0,-1859.5,4.607717241181268,3.957214046518008,-762.5,-334.0,-634.0,-642.5,-351.0,-584.5,-423.0,-501.0
-3890.0,-1907.5,-1982.5,4.853262152936724,4.194268078274197,-562.5,-501.5,-521.0,-322.5,-486.0,-591.5,-506.5,-398.5
-3674.5,-1997.5,-1677.0,4.654294757710563,3.9648689144187506,-661.5,-468.5,-451.0,-416.5,-373.5,-543.0,-373.5,-387.0
-3598.0,-1928.5,-1669.5,4.656196340587404,4.064330425527361,-507.5,-500.0,-376.0,-545.0,-559.5,-428.0,-287.5,-394.5
-3457.0,-1524.5,-1932.5,4.77580243812667,3.9999214142560957,-451.5,-427.0,-345.0,-301.0,-580.5,-567.0,-311.5,-473.5
-3634.5,-1909.0,-1725.5,4.50330102344354,3.7314157608482574,-666.5,-336.5,-590.5,-315.5,-519.0,-411.0,-412.5,-383.0
-3509.5,-1762.0,-1747.5,4.675685477256775,4.016870239377022,-501.5,-286.0,-451.5,-523.0,-537.0,-406.0,-446.0,-358.5
-4027.5,-2160.0,-1867.5,4.489537362257639,3.7125858558548823,-491.0,-418.5,-728.5,-522.0,-418.5,-634.5,-374.5,-440.0
-3173.0,-1697.5,-1475.5,4.5280382580227325,3.7579273604684404,-475.5,-397.5,-374.5,-450.0,-386.0,-398.5,-298.5,-392.5
-3357.0,-1652.5,-1704.5,4.302363333437178,3.762037675248252,-451.5,-334.5,-417.5,-449.0,-351.0,-579.0,-314.5,-460.0
-3436.0,-1699.0,-1737.0,4.141950568887922,3.7120031578673256,-472.0,-326.5,-509.0,-391.5,-461.0,-486.5,-348.5,-441.0
-4029.5,-2279.5,-1750.0,4.115413399868541,3.700932498441802,-487.0,-567.5,-615.5,-609.5,-398.0,-662.5,-346.5,-343.0
-3466.0,-1591.5,-1874.5,4.1154717332786985,3.5796165184842215,-457.5,-444.5,-296.0,-393.5,-477.5,-572.0,-327.0,-498.0
-3188.0,-1630.0,-1558.0,4.064994307690196,3.538864262236489,-460.5,-320.0,-509.5,-340.0,-406.5,-319.5,-357.5,-474.5
-3575.5,-1837.5,-1738.0,4.14375654525227,3.3361597809526655,-468.0,-428.5,-453.0,-488.0,-385.5,-477.0,-317.0,-558.5
-3750.0,-1525.0,-2225.0,4.071835567222701,3.6312552428907816,-466.5,-340.5,-455.0,-263.0,-1039.0,-393.5,-288.0,-504.5
-3354.0,-1820.0,-1534.0,4.118649282389217,3.469891177283393,-406.5,-430.5,-523.5,-459.5,-333.5,-369.0,-441.5,-390.0
-3744.5,-1845.5,-1899.0,3.942525942458047,3.706946895851029,-446.5,-370.5,-507.5,-521.0,-534.0,-518.0,-416.5,-430.5
-3545.0,-1899.5,-1645.5,3.9488948583602905,3.7130355179309844,-492.0,-293.0,-536.5,-578.0,-390.0,-458.5,-333.0,-464.0
-2973.5,-1542.0,-1431.5,3.759638402528233,3.512401810950703,-467.0,-416.5,-376.0,-282.5,-380.5,-437.0,-278.0,-336.0
-3554.0,-1888.0,-1666.0,3.674240698085891,3.5110004425048826,-632.0,-334.5,-515.5,-406.0,-421.0,-543.0,-313.0,-389.0
-3069.0,-1465.0,-1604.0,3.625876921084192,3.4394723541206784,-400.5,-270.5,-395.5,-398.5,-527.5,-410.0,-271.0,-395.5
-3787.5,-2012.0,-1775.5,3.6008642567528617,3.6042692681153614,-669.0,-291.5,-462.5,-589.0,-380.0,-454.5,-300.5,-640.5
-3572.0,-1796.5,-1775.5,3.464056787888209,3.378937419421143,-605.5,-362.5,-436.5,-392.0,-594.0,-393.5,-441.0,-347.0
-3300.5,-1785.5,-1515.0,3.548394242922465,3.7195946021212474,-557.5,-404.5,-395.5,-428.0,-357.5,-451.0,-336.5,-370.0
-3414.5,-1574.0,-1840.5,3.414241890112559,3.604038515355852,-508.0,-313.5,-399.0,-353.5,-537.0,-501.5,-324.0,-478.0
-2983.5,-1555.0,-1428.5,3.418363169166777,3.4547472145822313,-431.5,-272.0,-477.0,-374.5,-354.0,-440.0,-344.5,-290.0
-3363.0,-1867.0,-1496.0,3.282616024547153,3.5563267426358327,-527.5,-368.0,-456.5,-515.0,-448.0,-392.0,-263.0,-393.0
-3050.5,-1590.5,-1460.0,3.3582596643103493,3.466050112247467,-522.5,-298.0,-418.0,-352.0,-447.0,-388.5,-298.0,-326.5
-3356.0,-1855.0,-1501.0,3.2341242753797106,3.389619287517336,-499.5,-308.0,-595.5,-452.0,-438.0,-352.0,-327.5,-383.5
-3250.5,-1587.5,-1663.0,3.251552864578035,3.4057363073031106,-482.0,-259.5,-534.5,-311.5,-488.0,-345.5,-448.0,-381.5
-3181.0,-1580.0,-1601.0,3.170902509821786,3.2106337034040027,-546.5,-273.0,-341.0,-419.5,-498.5,-362.0,-428.0,-312.5
-3344.0,-1727.5,-1616.5,3.219394628538026,3.261279809143808,-469.0,-444.0,-357.5,-457.0,-361.5,-397.0,-478.5,-379.5
-3174.0,-1709.0,-1465.0,3.1661848415931066,3.2287264390124215,-467.5,-379.0,-404.5,-458.0,-521.0,-381.5,-266.0,-296.5
-2989.5,-1504.5,-1485.0,3.1388341085778344,2.976248927248849,-472.0,-312.5,-356.5,-363.5,-431.5,-378.0,-325.0,-350.5
-3474.5,-1838.5,-1636.0,3.1745997975269953,2.927099655071894,-668.5,-238.0,-459.0,-473.0,-410.5,-447.0,-321.0,-457.5
-2838.5,-1564.0,-1274.5,3.015758036242591,3.1707949469486874,-451.5,-279.0,-436.0,-397.5,-321.0,-411.5,-257.0,-285.0
-2932.0,-1516.5,-1415.5,3.040826979279518,3.219371150434017,-510.0,-272.5,-401.5,-332.5,-335.5,-280.0,-404.0,-396.0
